Variable,Description,Category,Important_level,Use,Condition,Add_on,Type,sample_Value
actualdpd_943P,Days Past Due (DPD) of previous contract (actual).,P,0,False,,max_actualdpd_943P,float64,"['min:0.0, max:3676.0, mean:0.010562997850956775']"
actualdpdtolerance_344P,DPD of client with tolerance.,P,0,True,,,float64,"['min:0.0, max:4206.0, mean:0.12299394633915448']"
addres_district_368M,District of the person's address.,M,0,False,,,object,"['a55475b1', 'P55_110_32', 'P55_110_32']"
addres_role_871L,Role of person's address.,L,0,False,,,object,"[None, 'CONTACT', 'PERMANENT']"
addres_zip_823M,Zip code of the address.,M,0,False,,,object,"['a55475b1', 'P10_68_40', 'P10_68_40']"
amount_1115A,Credit amount of the active contract provided by the credit bureau.,A,0,False,,,float64,"['min:0.2, max:54833332.0, mean:214110.4891721595']"
amount_416A,Deposit amount.,A,0,False,,max_amount_416A,float64,"['min:-40000.0, max:12213286.0, mean:8422.304481993826']"
amount_4527230A,Tax deductions amount tracked by the government registry.,A,0,False,,max_amount_4527230A,float64,"['min:0.0, max:87115.6, mean:2360.421375819257']"
amount_4917619A,Tax deductions amount tracked by the government registry.,A,0,False,,max_amount_4917619A,float64,"['min:0.0, max:344250.0, mean:20104.9657237729']"
amtdebitincoming_4809443A,Incoming debit card transactions amount.,A,0,False,,max_amtdebitincoming_4809443A,float64,"['min:0.0, max:4957852.0, mean:7552.901685678104']"
amtdebitoutgoing_4809440A,Outgoing debit card transactions amount.,A,0,False,,,float64,"['min:0.0, max:5168004.5, mean:7462.384277757748']"
amtdepositbalance_4809441A,Deposit balance of client.,A,0,False,,max_amtdepositbalance_4809441A,float64,"['min:-335718.0, max:4256314.5, mean:9967.412999351387']"
amtdepositincoming_4809444A,Amount of incoming deposits to client's account.,A,0,False,,,float64,"['min:0.0, max:4180150.5, mean:2949.3958999324345']"
amtdepositoutgoing_4809442A,Amount of outgoing deposits from client's account.,A,0,False,,max_amtdepositoutgoing_4809442A,float64,"['min:0.0, max:4622917.5, mean:3586.8751183165705']"
amtinstpaidbefduel24m_4187115A,Number of instalments paid before due date in the last 24 months.,A,5,True,,,float64,"['min:0.0, max:1408010.2, mean:63708.11959408535']"
annualeffectiverate_199L,Interest rate of the closed contracts.,L,0,False,,max_annualeffectiverate_199L,float64,"['min:0.0, max:91250.0, mean:704.3338133741097']"
