,importance,stddev,p_value,n,p99_high,p99_low
avgdpdtolclosure24_3658938P,0.0016799999999999927,0.0004604345773288727,0.000614222871409346,5,0.0026280411586022956,0.0007319588413976897
pctinstlsallpaidlate6d_3546844L,0.0016799999999999927,0.00038987177379241244,0.00032439364970813643,5,0.002482751370839135,0.0008772486291608504
maxdpdlast24m_143P,0.0016399999999999748,0.000384707681233422,0.00033815740336930455,5,0.002432118432884812,0.000847881567115138
pctinstlsallpaidlate4d_3546849L,0.0015600000000000058,0.00038470768123347976,0.0004100023934440873,5,0.0023521184328849616,0.0007678815671150501
pctinstlsallpaidlat10d_839L,0.0015199999999999658,0.00030331501776207254,0.00018057983032917764,5,0.0021445298138311336,0.0008954701861687979
numinstlswithdpd10_728L,0.001399999999999979,0.0006000000000000542,0.0032192543700849704,5,0.002635408292881382,0.00016459170711857567
maxdpdtolerance_374P,0.001399999999999979,0.0003741657386774271,0.0005580276209132211,5,0.002170412427456892,0.0006295875725430662
maxdbddpdtollast12m_3658940P,0.0013599999999999834,0.00045607017003968046,0.0013142725538407077,5,0.00229905478367132,0.00042094521632864666
daysoverduetolerancedd_3976961L,0.00127999999999997,0.00043817804600416066,0.0014189229633676827,5,0.002182214652986737,0.00037778534701320284
pctinstlsallpaidlate1d_3546856L,0.0012400000000000189,0.0002607680962081326,0.00022147663627573947,5,0.0017769251142906747,0.000703074885709363
maxdpdfrom6mto36m_3546853P,0.001200000000000001,0.0005830951894845801,0.005008687526391757,5,0.0024006010543807317,-6.010543807297673e-07
numinstlsallpaid_934L,0.0011199999999999878,0.0004816637831517425,0.0032592592592606113,5,0.002111752386810386,0.00012824761318958955
maxdbddpdtollast6m_4187119P,0.0010399999999999964,0.0003286335345031648,0.0010523957839300168,5,0.001716660989740163,0.00036333901025982994
price_1097A,0.0010399999999999743,0.0005366563146000062,0.006158676235122928,5,0.0021449827691399064,-6.498276913995756e-05
mobilephncnt_593L,0.0010000000000000009,0.0006164414002969378,0.011105679344562495,5,0.002269261363336989,-0.00026926136333698726
max_birth_259D,0.0009999999999999788,0.0004690415759824096,0.004428758745733117,5,0.0019657630877912774,3.423691220867989e-05
days180_256L,0.0009600000000000053,0.00035777087640003554,0.0019412685234815917,5,0.0016966551794266912,0.00022334482057331947
firstclxcampaign_1125D,0.0009599999999999831,0.000477493455452571,0.005429495863236513,5,0.001943165624437733,-2.3165624437766698e-05
numrejects9m_859L,0.0009599999999999831,0.0004335896677736409,0.0038783291418720755,5,0.0018527671187919836,6.723288120798275e-05
disbursedcredamount_1113A,0.0009599999999999831,0.0005899152481501323,0.010993300659389946,5,0.002174643649436314,-0.00025464364943634783
lastrejectcredamount_222A,0.0009199999999999875,0.0006260990336999927,0.015168681882292121,5,0.0022091465639965447,-0.0003691465639965698
avgmaxdpdlast9m_3716943P,0.0009199999999999875,0.0003033150177620762,0.001233521575477446,5,0.0015445298138311628,0.00029547018616881196
pctinstlsallpaidearl3d_427L,0.0009199999999999875,0.0003033150177621128,0.0012335215754780019,5,0.0015445298138312383,0.0002954701861687366
firstdatedue_489D,0.0009199999999999875,0.00041472882706659707,0.0038522110346448316,5,0.0017739323870916627,6.606761290831227e-05
totalsettled_863A,0.0008799999999999697,0.0004604345773288969,0.006456268141647826,5,0.0018280411586023223,-6.804115860238298e-05
dateofbirth_337D,0.0008799999999999697,0.00033466401061368954,0.0020905360678217656,5,0.0015690778234017442,0.0001909221765981951
numinstlswithoutdpd_562L,0.0008799999999999697,0.0005403702434442827,0.010968103916253703,5,0.0019926297999622185,-0.0002326297999622793
numinstlswithdpd5_4187116L,0.0008399999999999963,0.00021908902300207272,0.0005083313086446246,5,0.0012911073264933641,0.0003888926735066285
datelastinstal40dpd_247D,0.0008399999999999963,0.0005549774770204953,0.013835634009229618,5,0.00198270629578909,-0.00030270629578909767
numincomingpmts_3546848L,0.0008399999999999741,0.00021908902300210313,0.0005083313086449461,5,0.0012911073264934045,0.00038889267350654367
